metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
case	X34072	Control_Sick	1.01577850807456	0.165295288236973	86	45	1.61015398988646e-07	0.000148456197867532
case	X2126319	Control_Sick	1.22276242694598	0.21890331834379	86	40	2.01749937494433e-06	0.000930067211849335
case	X34072	COVID19	0.899453963760984	0.176754748249178	86	45	6.49686182504935e-06	0.00130497665428808
case	X663243	Control_Sick	0.92360857188642	0.181207168159139	86	44	7.07687990394836e-06	0.00130497665428808
case	X2126319	COVID19	1.207424524324	0.226697304835402	86	40	6.84756850911491e-06	0.00130497665428808
case	X32011	COVID19	1.20475212024965	0.232147708165272	86	24	1.23495960598372e-05	0.00185628249804076
case	X93973	COVID19	0.600224014172555	0.110839683336077	86	23	1.40932510697238e-05	0.00185628249804076
case	X93973	Control_Sick	0.483799937205404	0.0918410732092701	86	23	1.80483591019192e-05	0.00208007338649619
case	X436515	Control_Sick	1.14331954246949	0.237691809901648	86	35	3.79514102099407e-05	0.0038879111348406
case	X2202826	Control_Sick	0.631770477853037	0.137918664832095	86	26	5.1595584337048e-05	0.00475711287587583
case	X338969	COVID19	0.911917388715652	0.19539324356216	86	17	6.55414484842018e-05	0.00549356504567583
case	X964	Control_Sick	0.791848728235969	0.173427150420817	86	25	9.72192186346625e-05	0.00560225747382243
case	X338969	Control_Sick	0.863784476577718	0.19530846639904	86	17	9.61092266260945e-05	0.00560225747382243
case	X436515	COVID19	1.15812308876211	0.257318518236529	86	35	8.53800152069429e-05	0.00560225747382243
case	X663243	COVID19	0.826265331790342	0.192011162953303	86	44	9.3980328935819e-05	0.00560225747382243
case	X908290	Control_Sick	0.817790113885658	0.178338162009364	86	15	8.60438023886396e-05	0.00560225747382243
case	X2303331	COVID19	0.692157342724887	0.14621655946107	86	14	0.000135608636498112	0.00735477428536819
case	X1360	COVID19	0.878289977362018	0.168084455207155	86	7	0.000168905284435248	0.00819635117101574
case	X2067957	Control_Sick	0.679222851673532	0.165330880564821	86	44	0.000166995007310702	0.00819635117101574
case	X2116657	Control_Sick	1.00826719979653	0.239261730596712	86	25	0.000183210878116863	0.00844602148118738
case	X329	Control_Sick	0.65471607993431	0.155981676539559	86	40	0.000216853266499839	0.00945935662379461
case	X946333	Control_Sick	0.686418165028398	0.163092322065691	86	21	0.000225711329418093	0.00945935662379461
case	X135727	COVID19	-0.794083233569674	0.177628005972196	86	4	0.000262174738173575	0.0105097873302624
case	X224471	Control_Sick	0.496735292230985	0.126224155119329	86	42	0.000278607496657807	0.0107031713299374
case	X624	Control_Sick	0.528161027169474	0.133233797269465	86	19	0.000407182328743406	0.0144393118115931
case	X624	COVID19	0.576205339619164	0.144682553807573	86	19	0.000395649443602525	0.0144393118115931
case	X1243	COVID19	0.739796149530776	0.188129109082475	86	22	0.000450018714765402	0.0148184733933464
case	X426355	Control_Sick	0.659600281037755	0.166587279799334	86	20	0.000447565677286973	0.0148184733933464
case	X1768	Control_Sick	0.756644556272055	0.184529030043684	86	7	0.000478115641586089	0.0152007800531853
case	X2599600	Control_Sick	0.706571357547933	0.167011483018997	86	8	0.000563020454845928	0.0173034953122649
case	X1813871	COVID19	0.712499014985103	0.192943256456362	86	30	0.000804373867265676	0.0239236356651275
case	X32011	Control_Sick	0.716066168053858	0.192043513932558	86	24	0.000839945098258883	0.0242009181435841
case	X748678	COVID19	0.851941298006511	0.222434499465554	86	12	0.000889857939198289	0.0248620915133583
case	X853	COVID19	0.585448575012649	0.15981966550695	86	29	0.000946734620504136	0.0256732152972004
case	X2603276	Control_Sick	0.854877044511325	0.242339361008759	86	23	0.0010639750829437	0.0280281436135454
case	X43662	COVID19	0.791440890783533	0.212030420846868	86	8	0.00117612034876411	0.0293076476097436
case	X1246301	COVID19	0.901972352531828	0.257998782031194	86	35	0.00115493414646694	0.0293076476097436
case	X748678	Control_Sick	0.783001198591744	0.213295823003037	86	12	0.00121728290561331	0.0295351273414598
case	X2067957	COVID19	0.661354890736567	0.192294295794784	86	44	0.00127222603549328	0.030076728326277
case	X54736	COVID19	0.75748033652378	0.214182888381791	86	10	0.00143564889855663	0.0330917071117303
case	X946483	Control_Sick	0.886984475321016	0.256416801053594	86	33	0.0015026900253343	0.033792200081908
case	X1697053	Control_Sick	-1.10595185753414	0.299699748706354	86	9	0.00166359703662141	0.0365199158991652
case	X881260	Control_Sick	0.852708228334221	0.247846981490234	86	22	0.00176130674119448	0.0377656933809607
